Address,Twitter,User Reward,Supply Percent
tz1ZvGCwooStQY1JjDwKdedmx8SJxmgvwjuh,@pe_de_mosca,20,0.2196%
tz1QsWLG1H9yYiTbJ6PX8e2i3aUJGdxk1Ufp,@NFTNatter,19,0.2086%
tz2PFaFHMnkLAVHd7S2RKuBK4jJdCtjz8kBJ,,19,0.2086%
tz2Tv8m3SG8Xj2tRmgqz56QnVhQF3QcUeroo,@NftTrees,19,0.2086%
tz1hg1S2kiLpz9cszEUd1urxD8z1s5JT8TBR,,18,0.1976%
tz1NgN7FCrSzs4vfMroKXyKE32WsReYD4WPd,@loackme_,18,0.1976%
tz1Pu8zRmNghAHzWxsT9Cy2qXHxkCrHcB3vc,,18,0.1976%
tz1TVa5tuFYt1wnUL2EZoZ5qknWLPhYrrGMa,@ArtNodee,18,0.1976%
tz1U8mFPuyGr48BWnULky9kUqAVQk8ewBHtU,@stusontier,18,0.1976%
tz1W3D3cigJ7sRbEKAwespa8ySbyUqBH9ahe,@dereknft,18,0.1976%
tz1YQs3qHgQGGQm14vX8vMDWwzY1DFXHCzJB,@OffaPerry,18,0.1976%
tz2SrgwygP3FUupRvW94Qw81kWUrHxoY9mom,,18,0.1976%
tz2T1JQHdZxuCYeuFqe4z1Yd6LoGCuveCoH6,,18,0.1976%
tz1cxk5LbWqoCExnjgoQgKASNsxdNbEWvoaK,@itsaherring,17,0.1866%
tz1eB2tzcRPLQbnKPZLAYoVMV1yWv8BetSTQ,,17,0.1866%
tz1NYwQ5zBFQbws2EHihLgMjhrypgGA9Bn5e,@amberpoulain,17,0.1866%
tz1UTAy58j2H2SsiufaXkZBchJNCkAgeXXxU,,17,0.1866%
tz1VGZPvqytFVAoSAsM8VrUveJdL3PpVy6K9,,17,0.1866%
tz2WkNvULYTbHBJeL9PBPPBUF5fT46TKCkYT,,17,0.1866%
tz1eJHRv1W8DYJjtusHSh1c1juRjhKZFV7LQ,@chainofinsight,16,0.1757%
tz1fdv4qjH467zGFJycBA1wX7kXgMdKSHfeq,,16,0.1757%
tz1PcF3U6KDKxLX5CNYUgh31FtrensvXS1vQ,,16,0.1757%
tz1PYqfNnkpZydtSY2Tn3Rv8mjkgUpHJpFXC,@QArtsi,16,0.1757%
tz1UVNappJHg3aEM7DYktiDyvZo9vase5AJx,,16,0.1757%
tz1Xd75PTAwQhK9TAhUZxB7GtdczkE3397Bu,@acid_very,16,0.1757%
tz1f94uZ7SF2fLKnMjFzGQTbznd8qpAZ12is,@ztepler9000,15,0.1647%
tz1Kx4ydaiJHThd2nTgXR25JPTZtKyLG9KC1,,15,0.1647%
tz1PoyguZTFRYfHC9j3VYvivNJqKViewkfYm,@bitttylabs,15,0.1647%
tz1WdiCMbg9Umn6wqwLiVi17d99pfM9QxK4k,,15,0.1647%
tz1YokFzMR1hX4m4aBqgutxLSUKFDdNoYGEN,@RT_Artwork,15,0.1647%
tz2AjoLXod2ZRaB7L38uFNg88XZFF67fUxDm,@Krzysztof_Syruc,15,0.1647%
tz2LxrbXYhT6C9FwWDpJrD4KNaVSqBbncz7V,,15,0.1647%
tz2R1iMz3wHEx6Z8dpdPVgb9eTDVh5NdeqNz,,15,0.1647%
tz1ap25idFZeNe2DeGqS9F7yidKRNZ4vFnPA,,14,0.1537%
tz1bBdon63ZyMePh6kqURay8iMkh5NMpQfrg,@VidaVakil,14,0.1537%
tz1iaVFySeteNqer5NcmNaxUdBW4bbrtNakb,,14,0.1537%
tz1iKKzf8QFMNUv3EDwHjpiSRAzTbfyBFq1H,@cleanNFTart,14,0.1537%
tz1inX3zd94NqN8YsTxoT7PsmBRzi6Bu13Ec,,14,0.1537%
tz1iuhDtKMFV2t99ZMa6QG6jPJqGo7YroDdo,@mgmm,14,0.1537%
tz1LGa2ePYGgWuxKF9z4Ps341N1M4xuUm6Nb,@joehalliwell,14,0.1537%
tz1LgJcfMyexNCeSHivoZvmBfvj47i5YEEpL,@TacoTezos,14,0.1537%
tz1MKUuWoUGVYhz8BH3ETnjoCZbJ2Y6zsA9p,@446f6d1,14,0.1537%
tz1MPih1war56NGkvTrzX3dF8v8JwHjKsm7G,,14,0.1537%
tz1NBZbCJG5rvVPW83LcD53UPg11vZug8FRc,,14,0.1537%
tz1PSEVCg3ShH7uQmN9YfHECXrzVHj9J5Zvw,,14,0.1537%
tz1QC9QZH8giTj5TewD7ykLBCGR3TmMwzgHq,,14,0.1537%
tz1Qq5n5GGBJi3uMx69yL6K1hpT9cNsWxBWH,,14,0.1537%
tz1QSxDeUy6YQZj9Q9HZ5couvThGX8Qu7RzY,,14,0.1537%
tz1R4bLnuw5uwWLrvFV3vajbw2eBXb6MQ3F3,@Nicolas_Sassoon,14,0.1537%
tz1VoR2LqBzgCSrmEB2HQUUgtMgjm6g5kQy2,@antiquefuture,14,0.1537%
tz1WdGoHis4WLYhKwFGVPeRAhS1cCSHcmTFN,,14,0.1537%
tz1WRVgKHfkZvuEymYgHTFZ9ck5wNBQ4GQzC,@dAAAb,14,0.1537%
tz1Zmo36Tb5X3cyuiBCd8Wyj2ATSfqzKJwh7,,14,0.1537%
tz1ZQ1W5zpsVUZMJhzxezA1Nrgma7CnAboRV,,14,0.1537%
tz1ZVFxUi2J2YitdsaH2VWJkoG9ZieCEzKxf,,14,0.1537%
tz2SkMakFtDeBXuBQ1zAhJjAZkTC1c38drBV,@TheDavidZhou,14,0.1537%
tz1a6tAY8tZJVFaWj6Tmz9LEq2ugmdvFjjRs,@econ_rockstar,13,0.1427%
tz1c8bog1Hw3c2AUYUcsJrKs1hw9CTfFTeCe,@vjthor,13,0.1427%
tz1ej4VrWM9mwC5dzjX6LHtN6zcohoTr7X9Q,@1x2x3xnx0,13,0.1427%
tz1fz3oNUFzvBtMTPi75ZJKTdErUPqHc46bc,@starpause,13,0.1427%
tz1gfc1S3RQoMeQNnbs61NxomqjKbMQZCLoc,,13,0.1427%
tz1MsrdFYZfY5SJynGCjBCgsLeR3aVRMitTn,@joffnft,13,0.1427%
tz1MVDMcy2dWWVBoaerBDFM5WSb5FGpwKtwu,@the_homosaur,13,0.1427%
tz1PmkivtHWNkvh8nFdhLJdXnc49TKMiz8i4,@blakebutler,13,0.1427%
tz1U2wsJgebEvS6CZYXn1mjErRU5mSZ2ZS1Z,@taiskoshino,13,0.1427%
tz1UDwFTsdKxJaXuHE9eavD4MUvyAk185wEx,,13,0.1427%
tz1YnJCi3ZoeSgszw6x78WZgeGumecM2EvbW,@theurbanita,13,0.1427%
tz1ZWje5jpfbWrG5iuxz7qUx7eBLLAS5Tv3z,@0x00000010,13,0.1427%
tz1awh8dGUvo2aH4HxheWq2Ua4pa9UHcqkMV,,12,0.1317%
tz1eQSDae9aYg9qkwPnrBK9ZK6kF94YiGEvB,,12,0.1317%
tz1esHcZH5isT8mo8NLy96Jcfi4hCdq5xa89,@ediciuslatnem,12,0.1317%
tz1ex5eqnkfQQuaGqUsKG5jbAXLkG4Rq2D36,,12,0.1317%
tz1fgQgnq7itzJXL3Nvx6GLsyNfrv2ofDt9i,,12,0.1317%
tz1gH5qBndFDibwQ1jyZ3QDGcm35qYD7ndru,@brendonrell,12,0.1317%
tz1iZ9yHJzgvC4oBvHsrNmtL8GHPqtwqshAi,@grasser_alex,12,0.1317%
tz1NiZMo5Z7A7qA6LiH3GMB4gBVLhqJ8nTji,@atimtay,12,0.1317%
tz1Rap5Gv7XEhQbrS1PRqg9R1v9Nojdginq4,@metachaosphere,12,0.1317%
tz1TxDL7npfYDSyvrZFC4deUPMySvsL6xARU,@p1xelfool,12,0.1317%
tz1Ty3zxPSKtDbb532h3UKWff4SRG99BU26L,@mobotato,12,0.1317%
tz1UaGzw3MRwn7G9WQ5rRDs8tMCPqNw2JyQE,@iszotope,12,0.1317%
tz1UMXYYC8HKDM7CRGYHzquQS8XykH363jPN,@LLLubin,12,0.1317%
tz1UqpNLoPRpAPKCTsgXyBRitTdpKJWEjVKT,,12,0.1317%
tz1Vo4jPVc2LeA2NLxnG6k1dx24hEczQCtRu,@Pravz_666,12,0.1317%
tz1Xwa4QkJhg89GWeXP3Z67gDLvYe4DzCK8J,@Hans_2024,12,0.1317%
tz1Xye21UorssHqTHEyMQso5EG95sssea9vN,@esnho,12,0.1317%
tz2PWXChC7fgz6eRBobC1gusadnempgUep3N,,12,0.1317%
tz1dbbzv1CCN219rKYvpCtGfh3ePM89yCUi9,@_viscous,11,0.1208%
tz1hBuEgXmxPmtruU21ofSKUD45EmNXQ5cjF,,11,0.1208%
tz1hBYa9PA5rnC8R3QDhUid3bNZBibaRhAsT,@tweetious,11,0.1208%
tz1KojLMYHQZW9BCS6skDYV9BSaYh3hk3aKJ,,11,0.1208%
tz1KqzBPfhoTquknvyWSsHQ3PX5VDaoYMqq7,@oohgaga_,11,0.1208%
tz1L8mc3gHDXrcixnNHonLDJe1TsUTNCPens,@loafgren,11,0.1208%
tz1Lhv8ZHbsNbATa5aUpRWFdUoQToGM6RbxN,,11,0.1208%
tz1NDLFUcU1ekNk5zKJGVmkmVuWPyFMeNMm1,@TonyPeanuts12,11,0.1208%
tz1RvH6cnBTpBQTyjDoatyR8Ev7zdK5BHtWL,,11,0.1208%
tz1SXnaADssozctaFKr6ajZgJ6jSjq5uLxjF,@MONSTREphotos,11,0.1208%
tz1TvzpZnC1WM4nZJuc9WW7YFP7tnETzCVpu,@stashxyz,11,0.1208%
tz1WJpBDRGfa21un4yQDKTGXZw561nsGg7Qe,@spike_0124,11,0.1208%
tz1XeEyDyk3EKLBg128NNMpTXB4bur5YMjnD,,11,0.1208%
tz1Zvyhiv6DfPbSBa1iR7DL9b9t6ReJsZeNQ,@seherkis,11,0.1208%
tz2C2FJrknXNyDL8gyYCMzKYHcfM71TvbwoN,,11,0.1208%
tz2E6CBDuodQuNCswuAvXqVanQYWNFuvPYdz,,11,0.1208%
tz2HMhNEPoVy5XsSxXkRg5SXZ2ErHRnWAvwZ,,11,0.1208%
tz2LZh1wVVywuuJhwV4cQu5Q1mTsAtbYGgYj,,11,0.1208%
tz2WXJJGef3aUhZvm3TEZsKSV1UwoUSNxSrc,,11,0.1208%
tz1akScCBSpjefb2nWqes5MXFxeF3bmZd3jR,@GuerreGaspard,10,0.1098%
tz1b1WCj1AWEFfrfbsCZGuCTS6vtv4AamqwW,,10,0.1098%
tz1bqtGnZmyM2BCoF4ztz452vqGuKSBaSLFT,,10,0.1098%
tz1d8Fx1eLFTeRoWTjXvs5W8hUMZEcnb9Mvg,@tropofarmer,10,0.1098%
tz1eFtCrUfTQX37AfBvM5sQ6JkkgZfuHXAfz,@Qvantatitive,10,0.1098%
tz1eHuC9QoocYuqWaDfRkCGz1i6JA548znkv,@aliceigl,10,0.1098%
tz1ewfUSKYFaKZShpsuJfcdVUg3JJA73fbLi,@DanWiseCreative,10,0.1098%
tz1f9XY4BuEC5GH7eFViJs1dQ3WN5L7koiJM,,10,0.1098%
tz1fLywsNYFcfKLSW1pnAKzB48skrwDgRhgP,@dchimals,10,0.1098%
tz1fNCdx7h3ceHguUEvENNqPmFSJcbaVM57G,,10,0.1098%
tz1g6JRCpsEnD2BLiAzPNK3GBD1fKicV9rCx,@jagracar,10,0.1098%
tz1g7jhJaxqPwf4EvJ5aPer9zHXvFfTUgEn9,,10,0.1098%
tz1hh1BmBNT2Z4a5tNPhvGWQ2vi7MxErA4Q3,,10,0.1098%
tz1KwG9Dcp6wwTdetP9T1STqpnBLXng4rmzP,,10,0.1098%
tz1L2yuYQMNayroPcnrEZ9YytP4rwgj6FWZ1,@ListenLisse,10,0.1098%
tz1LLSwj6gGNX1eFHAvnt4tkC8WQryeRBpPW,@EL314B,10,0.1098%
tz1M7n1FpvfKhByTPhW3pwbQv67Ka5YV17BC,@richardsonkelly,10,0.1098%
