Address,Collage 001 Reward,MATH Reward
tz1d2rUGp2s6Bx8EwVyxxYVa7gJXRA83gAqB,1,5
tz1ibTknNagJCgQPgcbPvJhpSyS5vxgdyFt4,1,5
tz1UpBrpg5hKGY3ugnSTaVHXGKbDNEraN2cX,1,5
tz2UYLKTisJDAqAXTCn2u3EzMDHYMBr9JVb5,1,5
tz1QEqUQV5cL2MvTuxW3fuV4HDWxiivFfjV4,1,5
tz1MJffWuJNHQdedGvwhiiBYPgbZSywvbbJE,1,5
tz1Mdpj1npkpaxPHF2wFN6oX8SovVPfHyXSy,1,5
tz1gfc1S3RQoMeQNnbs61NxomqjKbMQZCLoc,1,5
tz1Lsqor1SH7NJjfNaFpCP6emHX1BeEzBMHu,1,5
tz1dbbzv1CCN219rKYvpCtGfh3ePM89yCUi9,1,5
tz1ZsNvZKUveN7FjRhMHTm9NiAUNAmrwdFKV,1,5
tz1Vkoqo2ZQsVXBniYJDfX6F2NMfH5RoEuGn,1,5
tz2LXbRhJdbHCsG5S6BydPLFg3YFTaGmG69S,1,5
tz1NYwQ5zBFQbws2EHihLgMjhrypgGA9Bn5e,1,5
tz1UMXYYC8HKDM7CRGYHzquQS8XykH363jPN,1,5
tz1LqEezq8UbmmehRdFT22DhP9fvhsYwfuDw,1,5
tz1YdbwBsvZPyZfTreR7H9WR52nrwTuA9wvH,1,5
tz2X3jQAeRG3tZLxpsmPfMMw6wbWBUCu9x8S,1,15
tz1dF16PzWVp7R9iVgyp1be9kojS8rUHS9MR,1,15
tz2S8xbSkYZ2pnFhiRvC2cVapErz75rNfkWo,1,15
tz1aM5EVjRJfK3TRzWA3TJh5gdu3wivroGsk,1,5
tz1URr8y6ZAWBiLptRibc9afx5G1mmmpqyaK,1,5
tz1SRtdDrVtx77SWDqrjQHrWRfN8XBk8h53j,1,5
tz1hZvoGtccTwBEDPmrTDduFv6DtJq2i7kZY,1,5
tz1UZGPJtRLsNyYUuYyQU9DSepSF13XxYxFk,1,5
